Row.names,ensembl_gene_id,logFC,p-value
0,Unknown,-0.020818362,0.801995174
1,1,-0.035847297,0.580714934
2,10,-0.024055899,0.824689041
3,100,0.00332761,0.972910402
4,1000,-0.02955008,0.818606205
5,10000,-0.024090036,0.874526694
6,10001,0.006093527,0.960329809
7,10002,-0.021085698,0.870617058
8,10003,-0.001722695,0.988899431
9,10004,-0.05123907,0.743249673
10,10005,-0.038700247,0.661835111
11,10006,-0.005517805,0.96191475
12,10007,-0.003013929,0.979897881
13,10008,-0.031140966,0.745734024
14,10009,-0.007979695,0.938384009
15,1001,0.031863079,0.816308193
16,10010,-0.074805679,0.559891026
17,10011,-0.009077765,0.928744417
18,10012,-0.01097742,0.916303789
19,10013,0.024373882,0.816387265
20,10014,0.054645096,0.706696599
21,10015,-0.033364989,0.803147044
22,10016,-0.016012932,0.892702482
23,10017,-0.00681988,0.945160568
24,10018,0.03037033,0.766135449
25,10019,-0.018274425,0.875510199
26,1002,-0.026288753,0.820351648
27,10020,-0.033372766,0.787432317
28,10021,-0.022163996,0.887892415
29,10022,0.007416024,0.947637499
30,10023,-0.034608466,0.789442077
31,10024,-0.01454668,0.90577728
32,10025,-0.012419919,0.926578648
33,10026,-0.025453153,0.85653764
34,10027,-0.020387791,0.854724381
35,10028,-0.021905193,0.856455986
36,10029,-0.021115504,0.858749774
37,1003,-0.000432732,0.9969816
38,10030,0.023477372,0.868932843
39,10031,-0.019892971,0.821879762
40,10032,-0.027484007,0.804089335
41,10033,0.101607047,0.47432046
42,10034,0.012265846,0.906342871
43,10035,0.017506333,0.865471775
44,10036,-0.012319822,0.92316058
45,10037,-0.051992058,0.66027753
46,10038,-0.025724296,0.812367419
47,10039,-0.011587855,0.92898395
48,1004,-0.035335705,0.792010439
49,10040,-0.021438422,0.847971275
50,10041,-0.046652204,0.718179392
51,10042,0.047342971,0.721066578
52,10043,-0.001640891,0.990818829
53,10044,-0.020374969,0.829338219
54,10045,-0.013545877,0.896919117
55,10046,-0.027690563,0.797989427
56,10047,-0.034110402,0.812204814
57,10048,-0.010152473,0.922415805
58,10049,-0.030518335,0.811034202
59,1005,0.094757054,0.523746545
60,10050,0.003147544,0.972285868
61,10051,0.067600399,0.71061205
62,10052,0.047045828,0.748261361
63,10053,-0.030243679,0.808088138
64,10054,-0.01701913,0.898271318
65,10055,-0.018564108,0.83420957
66,10056,0.034677482,0.808855893
67,10057,-0.020987456,0.858306536
68,10058,-0.029282482,0.806778906
69,10059,-0.013244823,0.915258388
70,1006,-0.014022445,0.906422041
71,10060,0.026795065,0.826806663
72,10061,-0.01877841,0.854585185
73,10062,0.086102091,0.524304577
74,10063,-0.010112953,0.920582387
75,10064,-0.08873517,0.56925883
76,10065,-0.043665311,0.759489819
77,10066,-0.020064506,0.835643782
78,10067,-0.007140885,0.960007701
79,10068,0.02685115,0.833979572
80,10069,-0.006502505,0.945939931
81,1007,-0.033542687,0.8074964
82,10070,-0.050468836,0.705060059
83,10071,0.001901143,0.988248185
84,10072,-0.021361332,0.857560364
85,10073,-0.02192472,0.87067492
86,10074,0.024706262,0.84960686
87,10075,-0.038145247,0.778747371
88,10076,-0.020069284,0.878206172
89,10077,-0.042593682,0.689296138
90,10078,-0.042872887,0.749763859
91,10079,-0.035968626,0.722844154
92,1008,-0.040511,0.72641213
93,10080,-0.015011056,0.912357238
94,10081,-0.023249954,0.830972547
95,10082,0.017611096,0.862697389
96,10083,-0.026206778,0.854129066
97,10084,-0.006971911,0.953914516
98,10085,-0.065814532,0.585438096
99,10086,-0.020137874,0.85258084
100,10087,-0.025166251,0.853651539
101,10088,0.025547498,0.855302929
102,10089,-0.034631013,0.774046655
103,1009,-0.024764835,0.863692606
104,10090,-0.031309065,0.81735237
105,10091,0.02388156,0.846753783
106,10092,-0.031046945,0.82134184
107,10093,-0.024911626,0.84875242
108,10094,-0.026869347,0.846532046
109,10095,-0.01970989,0.871403097
110,10096,0.020277448,0.872874943
111,10097,-0.002675008,0.985262841
112,10098,-0.019495828,0.884451395
113,10099,-0.021661063,0.834737138
114,101,-0.034762219,0.76299852
115,1010,-0.015764078,0.855022646
116,10100,0.036457001,0.804610066
117,10101,-0.013340805,0.886570183
118,10102,-0.017690653,0.898638635
119,10103,0.052750216,0.580994515
120,10104,-0.044080792,0.746825469
121,10105,-0.031555285,0.819623176
122,10106,-0.025950398,0.802442325
123,10107,0.087509236,0.559694104
124,10108,-0.01950033,0.857899059
125,10109,-0.044405277,0.722694351
126,1011,-0.020660064,0.871169102
127,10110,-0.009541986,0.944687856
128,10111,0.033537483,0.805923446
129,10112,-0.007291052,0.954209778
130,10113,-0.018266388,0.882513051
131,10114,0.006616379,0.955115101
